vg_image_id,topname_predicted,explanation
2405831,airplane,The picture shows an airplane flying in the sky.
2388322,airplane,The picture shows an airplane flying in the sky.
2403564,airplane,An airplane is visible in the sky.
2414955,airplane,The picture shows an airplane in the sky.
2374543,airplane,The picture shows an airplane in the sky.
2411672,airplane,The picture shows an airplane flying in the sky.
2396992,airplane,The image shows an airplane flying in the sky.
2400389,airplane,The picture shows an airplane in the sky.
2395805,airplane,The picture shows an airplane in the sky.
2409831,airplane,The picture shows an airplane flying in the sky.
2398895,airplane,An airplane is visible in the image.
2410206,airplane,The picture shows an airplane in the sky.
2398522,airplane,The picture shows an airplane in the sky.
2386937,airplane,There is an airplane visible in the picture.
2409814,airplane,"An airplane is visible in the image, flying in the sky."
2413917,airplane,The picture shows an airplane in the sky.
2396407,airplane,An airplane is visible in the sky.
2396389,airplane,The picture shows an airplane in the sky.
2409010,airplane,"An airplane is visible in the image, flying in the sky."
2410371,airplane,The picture shows an airplane in the sky.
2402192,airplane,The image shows an airplane in the sky.
2412277,airplane,An airplane is visible in the sky.
2414580,airplane,The picture shows an airplane in the sky.
2394086,airplane,The picture shows an airplane flying in the sky.
2406995,airplane,The picture shows an airplane flying in the sky.
2404923,airplane,The picture shows an airplane flying in the sky.
2393003,airplane,The picture shows an airplane in the sky.
2395771,airplane,"An airplane is visible in the image, flying in the sky."
2408769,airplane,The image shows an airplane in the sky.
2410937,airplane,The picture shows an airplane in the sky.
2403828,airplane,An airplane is visible in the sky.
2411640,airplane,The picture shows an airplane in the sky.
2390460,airplane,The picture shows an airplane in the sky.
2409662,airplane,The picture shows an airplane in the sky.
2407837,airplane,"An airplane is visible in the image, appearing to be in flight."
2414107,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2391386,airplane,An airplane is visible in the sky.
2394212,airplane,An airplane is visible in the sky.
2403718,airplane,The image shows an airplane in the sky.
2411744,airplane,An airplane is visible in the sky.
2383991,airplane,The picture shows an airplane in the sky.
2413692,airplane,The picture shows an airplane flying in the sky.
2387441,airplane,There is an airplane visible in the picture.
2386945,airplane,An airplane is visible in the sky.
2409215,airplane,The picture shows an airplane in the sky.
2410586,airplane,The picture shows an airplane in the sky.
2384941,airplane,"An airplane is visible in the image, flying in the sky."
2401669,airplane,The picture shows an airplane in the sky.
2414209,airplane,The image shows an airplane in the sky.
2403786,airplane,The picture shows an airplane in the sky.
2408474,airplane,The picture shows an airplane in the sky.
2388632,airplane,An airplane is visible in the sky.
2412290,airplane,The image shows an airplane in the sky.
2404175,airplane,The picture shows an airplane in the sky.
2406392,airplane,The picture shows an airplane in the sky.
2410982,airplane,There is an airplane visible in the picture.
2413150,airplane,The picture shows an airplane in the sky.
2409519,airplane,An airplane is visible in the sky.
2414105,airplane,The picture shows an airplane in the sky.
2391726,airplane,"An airplane is visible in the image, flying in the sky."
2388550,airplane,The image shows an airplane in the sky.
2414071,airplane,"An airplane is visible in the image, likely in flight or on a runway."
2391107,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2404646,airplane,The picture shows an airplane flying in the sky.
2404759,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2402160,airplane,The image shows an airplane in the sky.
2413531,airplane,An airplane is visible in the picture.
2414505,airplane,The picture shows an airplane flying in the sky.
2365834,airplane,The picture shows an airplane in the sky.
2413618,airplane,The picture shows an airplane in the sky.
2388048,airplane,The picture shows an airplane flying in the sky.
2386035,airplane,The picture shows an airplane in the sky.
2397470,airplane,An airplane is visible in the sky.
2397336,airplane,"An airplane is visible in the image, flying in the sky."
2404987,airplane,An airplane is visible in the sky.
2408893,airplane,The picture shows an airplane in the sky.
2413895,airplane,The picture shows an airplane in the sky.
2405276,airplane,An airplane is visible in the sky.
2398442,airplane,The picture clearly shows an airplane in the sky.
2408655,airplane,The picture shows an airplane flying in the sky.
2398903,airplane,An airplane is visible in the sky.
2396831,airplane,The picture shows an airplane in the sky.
2404512,airplane,An airplane is visible in the sky.
2409291,airplane,An airplane is visible in the image.
2410554,airplane,The picture shows an airplane in the sky.
2403413,airplane,An airplane is visible in the sky.
2401630,airplane,The picture shows an airplane in the sky.
2381820,airplane,The picture shows an airplane in the sky.
2412959,airplane,The picture shows an airplane in the sky.
2409090,airplane,An airplane is visible in the sky.
2387646,airplane,An airplane is visible in the image.
2390862,airplane,The picture shows an airplane flying in the sky.
2393768,airplane,The picture shows an airplane flying in the sky.
2383590,airplane,An airplane is visible in the sky.
2383150,airplane,There is an airplane visible in the image.
2403739,airplane,An airplane is visible in the sky.
2397718,airplane,There is an airplane visible in the image.
2395984,airplane,The picture shows an airplane flying in the sky.
2407659,airplane,"An airplane is visible in the image, appearing to be in flight."
2387513,airplane,The picture shows an airplane flying in the sky.
2372914,airplane,"An airplane is visible in the image, flying in the sky."
2392995,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2387596,airplane,The picture shows an airplane flying in the sky.
2383531,airplane,The image shows an airplane flying in the sky.
2375674,airplane,An airplane is visible in the sky.
2414684,airplane,The picture shows an airplane in the sky.
2410144,airplane,There is an airplane visible in the picture.
2364408,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2415264,airplane,The picture shows an airplane flying in the sky.
2408687,airplane,The picture shows an airplane in the sky.
2405765,airplane,An airplane is visible in the sky.
2412641,airplane,There is an airplane visible in the image.
2382219,airplane,The picture shows an airplane in the sky.
2377083,airplane,The image shows an airplane in the sky.
2396832,airplane,The picture shows an airplane in the sky.
2413512,airplane,The picture shows an airplane in the sky.
2405452,airplane,There is an airplane visible in the image.
2389479,airplane,The picture shows an airplane flying in the sky.
2409463,airplane,The picture shows an airplane in the sky.
2408104,airplane,The picture shows an airplane in the sky.
2410831,airplane,The picture shows an airplane in the sky.
2386722,airplane,The picture shows an airplane flying in the sky.
2396430,airplane,The picture shows an airplane in the sky.
2408562,airplane,The picture shows an airplane flying in the sky.
2393006,airplane,The image shows an airplane in the sky.
2408296,airplane,The picture shows an airplane in the sky.
2408942,airplane,An airplane is visible in the sky.
2391235,airplane,The image shows an airplane in the sky.
2398910,airplane,"An airplane is visible in the image, flying in the sky."
2395722,airplane,"An airplane is visible in the image, appearing to be in flight."
2388274,airplane,The picture shows an airplane flying in the sky.
2406045,airplane,The picture shows an airplane in the sky.
2409629,airplane,The picture shows an airplane in the sky.
2385896,airplane,An airplane is visible in the sky.
2410459,airplane,The picture shows an airplane flying in the sky.
2389525,airplane,The picture shows an airplane in the sky.
2389102,airplane,An airplane is visible in the image.
2407047,airplane,The picture shows an airplane flying in the sky.
2394798,airplane,The picture shows an airplane in the sky.
2401989,airplane,The image shows an airplane in the sky.
2378451,airplane,The picture shows an airplane in the sky.
2377243,airplane,The picture shows an airplane in the sky.
2406381,airplane,The picture shows an airplane flying in the sky.
2412530,airplane,"An airplane is visible in the image, flying in the sky."
2407997,airplane,An airplane is visible in the sky.
2411208,airplane,The picture shows an airplane flying in the sky.
2409626,airplane,There is an airplane visible in the image.
2409494,airplane,The picture shows an airplane in the sky.
2391550,airplane,The picture shows an airplane in the sky.
2403503,airplane,"An airplane is visible in the image, appearing to be in flight."
2403310,airplane,The picture shows an airplane in the sky.
2402517,airplane,The picture shows an airplane in the sky.
2409189,airplane,An airplane is visible in the sky.
2388567,airplane,The picture shows an airplane in the sky.
2411554,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2412385,airplane,There is an airplane visible in the image.
2391778,airplane,The picture shows an airplane in the sky.
2395645,airplane,The image shows an airplane in the sky.
2404545,airplane,"An airplane is visible in the image, flying in the sky."
2399606,airplane,There is an airplane visible in the image.
2366247,airplane,There is an airplane visible in the image.
2396616,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2400263,airplane,The picture shows an airplane in the sky.
2409425,airplane,The picture shows an airplane in the sky.
2408334,airplane,"An airplane is visible in the image, flying in the sky."
2412531,airplane,The image shows an airplane flying in the sky.
2404284,airplane,The picture shows an airplane in the sky.
2402511,airplane,The picture shows an airplane flying in the sky.
2384241,airplane,"An airplane is visible in the image, flying in the sky."
2365049,airplane,The picture shows an airplane flying in the sky.
2377216,airplane,There is an airplane visible in the image.
2396341,airplane,The picture shows an airplane in the sky.
2375947,airplane,An airplane is visible in the sky.
2410442,airplane,The picture shows an airplane in the sky.
2412704,airplane,An airplane is visible in the picture.
2408225,airplane,The picture shows an airplane in the sky.
2406307,airplane,The picture shows an airplane in the sky.
2403229,airplane,"An airplane is visible in the sky, which is the primary subject of the image."
2405320,airplane,An airplane is visible in the sky.
2411972,airplane,The picture shows an airplane flying in the sky.
2387697,airplane,There is an airplane visible in the image.
2408406,airplane,The picture shows an airplane in the sky.
2396282,airplane,The image shows an airplane in the sky.
2403409,airplane,The picture shows an airplane in the sky.
2381231,airplane,The picture shows an airplane in the sky.
2395981,airplane,The image shows an airplane in the sky.
2395583,airplane,The picture shows an airplane in the sky.
2410301,airplane,There is an airplane visible in the picture.
2389489,airplane,The picture shows an airplane flying in the sky.
2390298,airplane,The picture shows an airplane in the sky.
2405086,airplane,"An airplane is visible in the image, flying in the sky."
2394779,airplane,The image clearly shows an airplane in the sky.
2411485,airplane,The picture shows an airplane in the sky.
2407411,airplane,"An airplane is visible in the sky, which is the highlighted object in the image."
2376404,airplane,The image shows an airplane in the sky.
2369230,airplane,There is an airplane visible in the image.
2414772,airplane,The picture shows an airplane flying in the sky.
2411116,airplane,The picture shows an airplane flying in the sky.
2406197,airplane,The picture shows an airplane flying in the sky.
2387979,airplane,"An airplane is visible in the image, appearing to be in flight."
2401534,airplane,An airplane is visible in the sky.
2364431,airplane,The image shows an airplane in the sky.
2386243,airplane,The picture shows an airplane in the sky.
2386162,airplane,An airplane is visible in the sky.
2403596,airplane,"An airplane is visible in the sky, which is the most prominent object in the image."
2410404,airplane,There is an airplane visible in the picture.
2413961,airplane,An airplane is visible in the sky.
2386879,airplane,An airplane is visible in the sky.
2393286,airplane,"An airplane is visible in the picture, flying in the sky."
2414000,airplane,The picture shows an airplane flying in the sky.
2408610,airplane,There is an airplane visible in the image.
2400907,airplane,The picture shows an airplane in the sky.
2407500,airplane,There is an airplane visible in the picture.
2412168,airplane,There is an airplane visible in the image.
2388896,airplane,The picture shows an airplane in the sky.
2401211,airplane,The picture shows an airplane in the sky.
2413606,airplane,The picture shows an airplane in the sky.
2407756,airplane,An airplane is visible in the picture.
2413180,airplane,The picture shows an airplane flying in the sky.
2407255,airplane,There is an airplane visible in the picture.
2404645,airplane,The picture shows an airplane flying in the sky.
2409715,airplane,The picture shows an airplane flying in the sky.
2399448,airplane,The image shows an airplane in the sky.
2413845,airplane,The picture shows an airplane flying in the sky.
2378220,airplane,An airplane is visible in the picture.
2377913,airplane,"An airplane is visible in the sky, which is the primary focus of the image."
2399745,airplane,The picture shows an airplane in the sky.
2412726,airplane,The picture shows an airplane in the sky.
2412564,airplane,The picture shows an airplane flying in the sky.
2397581,airplane,The image shows a passenger airplane in flight.
2377301,airplane,The picture shows an airplane in the sky.
2397680,airplane,The picture shows an airplane in the sky.
2409515,airplane,The picture shows an airplane in the sky.
2387776,airplane,"An airplane is visible in the image, flying in the sky."
2407564,airplane,The picture shows an airplane flying in the sky.
2403832,airplane,The picture shows an airplane in the sky.
2406192,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2376406,airplane,"An airplane is visible in the image, flying in the sky."
2409536,airplane,The picture shows an airplane in the sky.
2403198,airplane,The picture shows an airplane flying in the sky.
2402376,airplane,There is an airplane visible in the picture.
2414750,airplane,An airplane is visible in the sky.
2386481,airplane,The picture shows an airplane in the sky.
2404410,airplane,The picture shows an airplane in the sky.
2410318,airplane,The picture shows an airplane in the sky.
2410417,airplane,The image shows an airplane in the sky.
2397835,airplane,The picture shows an airplane flying in the sky.
2398303,airplane,The image shows an airplane in the sky.
2404799,airplane,The picture shows an airplane in the sky.
2393305,airplane,An airplane is visible in the sky.
2410585,airplane,The picture shows an airplane in the sky.
2408058,airplane,An airplane is visible in the sky.
2397668,airplane,There is an airplane visible in the image.
2394080,airplane,The picture shows an airplane in the sky.
2409786,airplane,An airplane is visible in the sky.
2382648,airplane,There is an airplane visible in the image.
2401335,airplane,The picture shows an airplane in the sky.
2403337,airplane,The picture shows an airplane in the sky.
2382589,airplane,The picture shows an airplane flying in the sky.
2410190,airplane,An airplane is visible in the picture.
2381903,airplane,The picture shows an airplane in the sky.
2391891,airplane,There is an airplane visible in the picture.
2391797,airplane,The picture shows an airplane in the sky.
2386069,airplane,An airplane is visible in the sky.
2413715,airplane,The picture shows an airplane flying in the sky.
2398608,airplane,The picture shows an airplane in the sky.
2402373,airplane,The picture shows an airplane in the sky.
2412111,airplane,The picture shows an airplane in the sky.
2391625,airplane,The image shows an airplane in the sky.
2373770,airplane,The picture shows an airplane flying in the sky.
2382916,airplane,The image shows an airplane in the sky.
2407473,airplane,An airplane is visible in the sky.
2405266,airplane,"An airplane is visible in the image, likely in flight or on a runway."
2399931,airplane,The image shows an airplane in the sky.
2411522,airplane,There is an airplane visible in the image.
2409590,airplane,The picture shows an airplane flying in the sky.
2378460,airplane,The picture shows an airplane in the sky.
2402039,airplane,The picture shows an airplane in the sky.
2403932,airplane,The picture shows an airplane flying in the sky.
2413047,airplane,The picture shows an airplane in the sky.
2394305,airplane,The picture shows an airplane in the sky.
2387340,airplane,The picture shows an airplane in the sky.
2415290,airplane,The picture shows an airplane in the sky.
2384967,airplane,The picture shows an airplane in the sky.
2409922,airplane,The image clearly shows an airplane in the sky.
2392368,airplane,The image shows an airplane flying in the sky.
2404069,airplane,The picture shows an airplane in the sky.
2404946,airplane,The picture shows an airplane in the sky.
2390413,airplane,The picture shows an airplane in the sky.
2374063,airplane,The picture shows an airplane in the sky.
2382227,airplane,"An airplane is visible in the image, flying in the sky."
2411117,airplane,An airplane is visible in the sky.
2381438,airplane,The picture shows an airplane in the sky.
2411854,airplane,The picture shows an airplane flying in the sky.
2414899,airplane,The image shows an airplane in the sky.
2385628,airplane,An airplane is visible in the image.
2404231,airplane,An airplane is visible in the sky.
2410069,airplane,"An airplane is visible in the image, appearing to be in flight."
2375344,airplane,The picture shows an airplane in the sky.
2413007,airplane,There is an airplane visible in the image.
2411200,airplane,There is an airplane visible in the image.
2401050,airplane,The picture shows an airplane in the sky.
2409124,airplane,"An airplane is visible in the picture, appearing to be in flight or on a runway."
2407237,airplane,An airplane is visible in the sky.
2394725,airplane,An airplane is visible in the sky.
2372253,airplane,The image shows an airplane flying in the sky.
2406201,airplane,"An airplane is visible in the image, appearing to be flying in the sky."
2410984,airplane,The picture shows an airplane flying in the sky.
2396954,airplane,The picture shows an airplane in the sky.
2396189,airplane,The picture shows an airplane in the sky.
2405722,airplane,The picture shows an airplane in the sky.
2383534,airplane,"An airplane is visible in the image, flying in the sky."
2411661,airplane,The picture shows an airplane flying in the sky.
2378168,airplane,The picture shows an airplane in the sky.
2415206,airplane,The picture shows an airplane in the sky.
2389629,airplane,The picture shows an airplane flying in the sky.
2410891,airplane,There is an airplane visible in the picture.
2412981,airplane,"An airplane is visible in the image, appearing to be in flight or on a runway."
2405721,airplane,The picture shows an airplane in the sky.
2404241,airplane,The picture shows an airplane in the sky.
2402484,airplane,An airplane is visible in the sky.
2398118,airplane,There is an airplane visible in the image.
2385952,airplane,The picture shows an airplane in the sky.
2404917,airplane,The picture shows an airplane in the sky.
2414327,airplane,There is an airplane visible in the image.
2391216,airplane,The image shows an airplane in the sky.
2377340,airplane,"An airplane is visible in the picture, flying in the sky."
2364789,airplane,The image shows an airplane in the sky.
2407448,airplane,An airplane is visible in the image.
2406803,airplane,An airplane is visible in the sky.
2378725,airplane,The picture shows an airplane in the sky.
2407804,airplane,"An airplane is visible in the image, flying in the sky."
2412845,airplane,The picture shows an airplane flying in the sky.
2409679,airplane,An airplane is visible in the sky.
2400678,airplane,The picture shows an airplane in the sky.
2392353,airplane,"An airplane is visible in the image, flying in the sky."
2414283,airplane,An airplane is visible in the sky.
2395316,airplane,The image shows an airplane in the sky.
2388670,airplane,The picture shows an airplane in the sky.
2413354,airplane,An airplane is visible in the picture.
2394564,airplane,"An airplane is visible in the image, appearing to be flying in the sky."
2395956,airplane,The picture shows an airplane in the sky.
2384926,airplane,An airplane is visible in the sky.
2375127,airplane,An airplane is visible in the sky.
2413650,airplane,There is an airplane visible in the image.
