vg_image_id,topname_predicted
2405831,train
2388322,tire
2403564,faucet
2414955,truck bed
2374543,bench
2411672,plane
2396992,hotdog
2400389,windshield
2395805,umpire
2409831,train
2398895,toothbrush
2410206,people
2398522,benches
2386937,propeller
2409814,windshield
2413917,athlete
2396407,motorcycle
2396389,pizza
2409010,flamingo
2410371,pizza
2402192,beach
2412277,bench
2414580,bed
2394086,giraffe
2406995,toothbrush
2404923,horse
2393003,entertainment center
2395771,pizza
2408769,flower
2410937,tennis player
2403828,banana
2411640,cat
2390460,wok
2409662,booth
2407837,cereal
2414107,motorcycle
2391386,boat
2394212,skateboarder
2403718,skateboard
2411744,cake
2383991,bed
2413692,train
2387441,bed
2386945,bird
2409215,bird
2410586,train
2384941,ambulance
2401669,pizza
2414209,carpet
2403786,skateboarder
2408474,phone
2388632,entertainment center
2412290,tennis player
2404175,cake
2406392,bridge
2410982,motorcycle
2413150,hotdog
2409519,pottery
2414105,umpire
2391726,shirt
2388550,pizza
2414071,sheep
2391107,boat
2404646,tennis player
2404759,boat
2402160,truck
2413531,frisbee
2414505,cake
2365834,restaurant
2413618,cow
2388048,dog
2386035,trolley
2397470,highchair
2397336,suit
2404987,toothbrush
2408893,train
2413895,bunk bed
2405276,picture
2398442,train
2408655,living room
2398903,giraffe
2396831,truck
2404512,tennis player
2409291,trolley
2410554,food
2403413,tie
2401630,giraffe
2381820,pizza
2412959,burger
2409090,umpire
2387646,cabinets
2390862,frisbee
2393768,pizza
2383590,tennis player
2383150,entertainment center
2403739,giraffe
2397718,eagle
2395984,dessert
2407659,stroller
2387513,plane
2372914,living room
2392995,desk
2387596,hotdog
2383531,baseball player
2375674,giraffe
2414684,suv
2410144,salmon
2364408,tennis player
2415264,desk
2408687,fruit stand
2405765,bed
2412641,pizza
2382219,kayak
2377083,raft
2396832,trolley
2413512,plane
2405452,laptop
2389479,bike
2409463,cookie jar
2408104,ambulance
2410831,quesadilla
2386722,wine
2396430,bench
2408562,umpire
2393006,suitcase
2408296,plane
2408942,zebra
2391235,boat
2398910,laptop
2395722,bird
2388274,refrigerator
2406045,vegetable
2409629,plane
2385896,vase
2410459,statue
2389525,bunk bed
2389102,kite
2407047,computer
2394798,tub
2401989,cake
2378451,windshield
2377243,zebra
2406381,book
2412530,toaster
2407997,trolley
2411208,fruit
2409626,turban
2409494,train
2391550,horse
2403503,bench
2403310,giraffe
2402517,pizza
2409189,woman
2388567,train
2411554,umpire
2412385,bunk bed
2391778,glider
2395645,cake
2404545,desk
2399606,entertainment center
2366247,cake
2396616,toilet
2400263,skateboarder
2409425,desk
2408334,bridge
2412531,entertainment center
2404284,tie
2402511,laptop
2384241,bird
2365049,umpire
2377216,dock
2396341,picture
2375947,fork
2410442,sailboat
2412704,bidet
2408225,train
2406307,sandwich
2403229,boat
2405320,hamburger
2411972,burger
2387697,platform
2408406,boat
2396282,tracks
2403409,ramp
2381231,desk
2395981,ramp
2395583,zebra
2410301,pizza
2389489,desk
2390298,steak
2405086,pizza
2394779,toilet
2411485,tennis player
2407411,pizza
2376404,chair
2369230,cow
2414772,tie
2411116,coffee
2406197,pottery
2387979,zebra
2401534,boy
2364431,furniture
2386243,plane
2386162,furniture
2403596,horse
2410404,motorcycles
2413961,soda
2386879,horse
2393286,traffic light
2414000,train
2408610,helmet
2400907,train
2407500,pole
2412168,bunk bed
2388896,laptop
2401211,boat
2413606,child
2407756,sandwich
2413180,umpire
2407255,giraffe
2404645,pizza
2409715,van
2399448,hoodie
2413845,pillow
2378220,plane
2377913,pizza
2399745,highchair
2412726,raft
2412564,dog
2397581,suitcase
2377301,bike
2397680,pizza
2409515,tomato
2387776,umpire
2407564,vegetables
2403832,cutting board
2406192,horse
2376406,pillow
2409536,tablecloth
2403198,bench
2402376,sheep
2414750,plane
2386481,skateboarder
2404410,giraffe
2410318,hat
2410417,batter
2397835,windshield
2398303,vase
2404799,horse
2393305,umpire
2410585,horse
2408058,wine
2397668,pizza
2394080,doorway
2409786,tennis player
2382648,benches
2401335,living room
2403337,suitcase
2382589,zebra
2410190,sheep
2381903,cow
2391891,tie
2391797,horse
2386069,hotdogs
